,timestamp,latitude,longitude,altitude_m,acc_horiz,acc_vert,course,speed_kts,altitude_ft,bank,pitch
4116,2024-11-06T20:42:18.14Z,40.70973,-114.021358,1307.5,0.0,1.0,315.35,96.78,4289.65,1.67,2.59
4117,2024-11-06T20:42:19.54Z,40.710175,-114.021936,1305.2,0.0,1.0,315.46,96.44,4282.05,1.74,1.11
4118,2024-11-06T20:42:20.54Z,40.710492,-114.022347,1303.1,0.0,1.0,315.43,96.29,4275.17,0.42,1.75
4119,2024-11-06T20:42:21.94Z,40.710872,-114.022841,1300.9,0.0,1.0,315.41,96.11,4267.91,-0.98,2.25
4120,2024-11-06T20:42:22.54Z,40.711122,-114.023172,1299.7,0.0,1.0,315.05,95.89,4264.07,-1.75,1.94
4121,2024-11-06T20:42:23.14Z,40.711308,-114.023422,1298.7,0.0,1.0,314.62,95.45,4260.75,-1.29,2.57
4122,2024-11-06T20:42:24.54Z,40.711738,-114.024003,1296.3,0.0,1.0,314.17,94.99,4252.99,2.09,4.32
4123,2024-11-06T20:42:25.94Z,40.712104,-114.024495,1294.9,0.0,1.0,314.54,94.25,4248.51,4.03,4.9
4124,2024-11-06T20:42:27.14Z,40.712527,-114.025059,1293.7,0.0,1.0,314.81,92.56,4244.51,0.47,3.91
4125,2024-11-06T20:42:29.14Z,40.713116,-114.025845,1292.8,0.0,1.0,314.65,88.92,4241.41,1.55,-1.89
4126,2024-11-06T20:42:31.34Z,40.713728,-114.026658,1292.9,0.0,1.0,314.73,82.11,4241.86,1.65,-3.15
4127,2024-11-06T20:42:33.73Z,40.714343,-114.027463,1292.9,0.0,1.0,315.04,74.53,4241.67,1.36,-2.22
4128,2024-11-06T20:42:34.34Z,40.714488,-114.027653,1292.8,0.0,1.0,314.94,72.77,4241.43,1.03,-2.62
4129,2024-11-06T20:42:36.34Z,40.71494,-114.028245,1292.9,0.0,1.0,315.18,65.69,4241.64,0.7,-2.32
4130,2024-11-06T20:42:38.33Z,40.715348,-114.028773,1292.9,0.0,1.0,315.08,58.88,4241.71,0.88,-1.72
4131,2024-11-06T20:42:40.33Z,40.715713,-114.029257,1292.9,0.0,1.0,314.87,53.7,4241.87,0.22,-1.49
4132,2024-11-06T20:42:42.33Z,40.716047,-114.029693,1293.0,0.0,0.0,315.1,48.66,4242.27,-1.44,-0.98
4133,2024-11-06T20:42:44.34Z,40.716349,-114.030086,1293.2,0.0,0.0,315.16,43.48,4242.79,-0.35,-0.87
4134,2024-11-06T20:42:46.34Z,40.716615,-114.030436,1293.4,0.0,0.0,314.79,38.21,4243.55,1.68,-0.8
4135,2024-11-06T20:42:47.94Z,40.716778,-114.030654,1293.5,0.0,0.0,314.38,34.38,4243.73,0.0,-0.79
4136,2024-11-06T20:42:48.54Z,40.716863,-114.030767,1293.5,0.0,0.0,314.8,31.61,4243.82,-0.1,-0.59
4137,2024-11-06T20:42:49.94Z,40.716979,-114.030918,1293.5,0.0,0.0,314.97,27.67,4243.93,0.64,-0.31
4138,2024-11-06T20:42:50.74Z,40.717063,-114.03103,1293.6,0.0,0.0,314.49,24.71,4244.24,0.66,-0.17
4139,2024-11-06T20:42:51.34Z,40.717109,-114.031091,1293.7,0.0,0.0,314.32,23.12,4244.3,1.49,-0.23
4140,2024-11-06T20:42:52.94Z,40.717193,-114.031203,1293.6,0.0,0.0,314.65,20.11,4244.06,3.12,-0.56
4141,2024-11-06T20:42:53.54Z,40.717253,-114.031282,1293.6,0.0,0.0,314.95,17.25,4243.95,1.39,-0.44
4142,2024-11-06T20:42:54.94Z,40.717311,-114.031359,1293.5,0.0,0.0,315.06,13.37,4243.76,2.16,-0.43
4143,2024-11-06T20:42:55.53Z,40.717342,-114.0314,1293.5,0.0,0.0,314.64,10.87,4243.85,1.93,-0.3
4144,2024-11-06T20:42:56.94Z,40.717377,-114.031446,1293.5,0.0,0.0,313.3,7.4,4243.87,1.12,-0.11
4145,2024-11-06T20:42:58.14Z,40.717402,-114.031479,1293.6,0.0,0.0,314.81,4.22,4243.95,1.38,0.17
4146,2024-11-06T20:43:00.14Z,40.717417,-114.031497,1293.5,0.0,0.0,-1.0,0.0,4243.76,0.63,0.29
4147,2024-11-06T20:43:01.74Z,40.717416,-114.031497,1293.6,0.0,0.0,-1.0,0.0,4244.04,0.55,0.81
4148,2024-11-06T20:43:02.96Z,40.717415,-114.031498,1293.6,0.0,0.0,-1.0,0.0,4244.15,0.45,0.86
