,timestamp,latitude,longitude,altitude_m,acc_horiz,acc_vert,course,speed_kts,altitude_ft,bank,pitch
4125,2024-11-05T18:12:44.64Z,40.706625,-114.017176,1332.2,0.0,0.0,312.77,86.05,4370.64,-0.67,0.26
4126,2024-11-05T18:12:45.64Z,40.706952,-114.017637,1329.6,0.0,0.0,313.21,85.96,4362.36,1.39,0.47
4127,2024-11-05T18:12:46.25Z,40.707172,-114.017941,1327.3,0.0,0.0,313.89,86.24,4354.78,2.41,0.73
4128,2024-11-05T18:12:47.66Z,40.707566,-114.018464,1323.4,0.0,0.0,315.19,86.25,4341.85,1.62,-0.43
4129,2024-11-05T18:12:48.44Z,40.707794,-114.018758,1321.0,0.0,0.0,315.72,85.93,4334.13,-0.61,0.84
4130,2024-11-05T18:12:49.24Z,40.708023,-114.019049,1318.8,0.0,0.0,316.0,86.02,4326.83,-3.67,1.93
4131,2024-11-05T18:12:50.66Z,40.708421,-114.019558,1315.7,0.0,0.0,315.46,85.58,4316.45,-6.07,2.33
4132,2024-11-05T18:12:51.44Z,40.708644,-114.019851,1314.2,0.0,0.0,314.91,85.03,4311.56,-5.61,2.01
4133,2024-11-05T18:12:52.04Z,40.708809,-114.020072,1313.0,0.0,0.0,314.21,84.66,4307.71,-6.53,1.65
4134,2024-11-05T18:12:53.44Z,40.709185,-114.020594,1310.3,0.0,0.0,313.18,84.23,4298.78,-0.4,1.59
4135,2024-11-05T18:12:54.04Z,40.709346,-114.020818,1309.0,0.0,0.0,313.32,84.21,4294.69,1.06,1.73
4136,2024-11-05T18:12:55.68Z,40.70978,-114.02141,1305.3,0.0,0.0,314.52,84.76,4282.58,-0.5,2.58
4137,2024-11-05T18:12:56.44Z,40.710002,-114.021703,1303.7,0.0,0.0,315.03,85.21,4277.21,-0.12,2.82
4138,2024-11-05T18:12:57.24Z,40.710227,-114.021996,1302.2,0.0,0.0,315.18,85.55,4272.22,-4.31,2.96
4139,2024-11-05T18:12:58.64Z,40.710563,-114.022438,1300.5,0.0,0.0,314.67,85.74,4266.74,-3.17,2.97
4140,2024-11-05T18:13:00.04Z,40.711008,-114.023032,1298.3,0.0,0.0,314.76,85.58,4259.58,-0.59,3.27
4141,2024-11-05T18:13:02.04Z,40.71157,-114.023765,1296.1,0.0,0.0,315.51,85.57,4252.26,-2.6,3.78
4142,2024-11-05T18:13:03.64Z,40.711909,-114.024204,1295.1,0.0,0.0,315.24,85.69,4249.16,-4.24,4.01
4143,2024-11-05T18:13:05.04Z,40.712413,-114.024869,1294.2,0.0,0.0,314.78,85.66,4246.11,-0.43,3.55
4144,2024-11-05T18:13:07.04Z,40.712976,-114.025606,1293.4,0.0,0.0,315.3,85.73,4243.47,-1.86,2.88
4145,2024-11-05T18:13:09.65Z,40.713647,-114.026475,1292.7,0.0,0.0,315.8,83.62,4241.03,-1.29,-2.51
4146,2024-11-05T18:13:10.44Z,40.713921,-114.026825,1292.7,0.0,0.0,315.81,81.93,4241.09,-0.82,-1.85
4147,2024-11-05T18:13:11.24Z,40.714135,-114.0271,1292.6,0.0,0.0,315.52,80.32,4240.95,-0.8,-2.76
4148,2024-11-05T18:13:12.04Z,40.714344,-114.027371,1292.7,0.0,0.0,315.48,78.9,4241.24,-1.0,-2.19
4149,2024-11-05T18:13:14.04Z,40.714847,-114.028033,1292.8,0.0,0.0,314.77,75.27,4241.59,-1.96,-1.89
4150,2024-11-05T18:13:15.04Z,40.715086,-114.028357,1292.9,0.0,0.0,313.94,73.42,4241.73,-1.84,-2.06
4151,2024-11-05T18:13:17.04Z,40.715544,-114.028984,1292.9,0.0,0.0,314.02,69.88,4241.67,-3.0,-1.84
4152,2024-11-05T18:13:18.44Z,40.715852,-114.0294,1292.9,0.0,0.0,314.67,66.8,4241.68,-3.2,-1.73
4153,2024-11-05T18:13:19.84Z,40.71615,-114.029793,1292.9,0.0,0.0,314.9,63.75,4241.66,-2.86,-2.12
4154,2024-11-05T18:13:20.65Z,40.716273,-114.029956,1292.9,0.0,0.0,314.91,62.47,4241.77,-1.97,-1.03
4155,2024-11-05T18:13:21.25Z,40.716434,-114.030168,1292.8,0.0,0.0,315.06,60.71,4241.62,-2.01,-1.25
4156,2024-11-05T18:13:22.25Z,40.716628,-114.030423,1292.8,0.0,0.0,315.14,57.95,4241.62,-2.35,-1.23
4157,2024-11-05T18:13:23.66Z,40.716881,-114.030756,1292.9,0.0,0.0,315.24,53.33,4241.66,-1.99,-1.07
4158,2024-11-05T18:13:24.64Z,40.717017,-114.030933,1292.8,0.0,0.0,315.37,50.69,4241.58,-1.99,-1.0
4159,2024-11-05T18:13:25.24Z,40.717146,-114.031101,1292.8,0.0,0.0,315.24,48.23,4241.36,-2.09,-1.03
4160,2024-11-05T18:13:26.64Z,40.717327,-114.031335,1292.7,0.0,0.0,315.07,43.63,4241.27,-2.53,-1.02
4161,2024-11-05T18:13:27.64Z,40.717436,-114.031478,1292.7,0.0,0.0,315.16,40.49,4241.17,-2.53,-0.51
4162,2024-11-05T18:13:28.25Z,40.717562,-114.031642,1292.7,0.0,0.0,315.0,36.92,4240.99,-2.56,-0.81
4163,2024-11-05T18:13:29.64Z,40.717697,-114.03182,1292.6,0.0,0.0,315.34,32.66,4240.97,-2.25,-0.65
4164,2024-11-05T18:13:31.05Z,40.717854,-114.032021,1292.7,0.0,0.0,315.58,27.19,4241.08,-1.93,-0.66
4165,2024-11-05T18:13:32.44Z,40.717973,-114.032178,1292.8,0.0,0.0,314.32,25.57,4241.58,-1.53,-0.07
4166,2024-11-05T18:13:33.66Z,40.718067,-114.032304,1293.0,0.0,0.0,314.37,23.93,4242.15,-2.68,0.37
