,timestamp,latitude,longitude,altitude_m,acc_horiz,acc_vert,course,speed_kts,altitude_ft,bank,pitch
3999,2024-11-06T23:45:53.00Z,40.718919,-114.043066,1305.1,0.0,0.0,89.54,92.22,4281.92,-3.12,2.66
4000,2024-11-06T23:45:54.59Z,40.718928,-114.042057,1301.6,0.0,0.0,89.53,92.04,4270.2,0.19,3.39
4001,2024-11-06T23:45:55.40Z,40.71893,-114.041609,1300.2,0.0,0.0,89.61,91.77,4265.67,-1.84,4.05
4002,2024-11-06T23:45:56.02Z,40.718932,-114.041274,1299.4,0.0,0.0,89.61,91.56,4263.02,-1.78,3.67
4003,2024-11-06T23:45:57.80Z,40.718938,-114.040277,1297.1,0.0,0.0,89.82,90.56,4255.52,0.2,3.42
4004,2024-11-06T23:45:58.40Z,40.718938,-114.039947,1296.3,0.0,0.0,89.98,90.31,4252.81,-1.15,4.08
4005,2024-11-06T23:46:00.02Z,40.718939,-114.039071,1294.6,0.0,0.0,89.93,89.65,4247.51,0.0,4.36
4006,2024-11-06T23:46:01.60Z,40.718942,-114.038203,1293.9,0.0,0.0,89.75,88.97,4245.1,4.6,0.01
4007,2024-11-06T23:46:02.20Z,40.718943,-114.037878,1293.9,0.0,0.0,89.84,89.03,4244.98,3.11,-0.51
4008,2024-11-06T23:46:03.80Z,40.718944,-114.03702,1293.4,0.0,0.0,89.96,86.93,4243.56,2.11,-2.44
4009,2024-11-06T23:46:04.39Z,40.718943,-114.036706,1293.4,0.0,0.0,90.16,85.59,4243.43,2.04,-1.49
4010,2024-11-06T23:46:06.00Z,40.718941,-114.036,1292.9,0.0,0.0,90.21,80.71,4241.96,1.89,-2.27
4011,2024-11-06T23:46:08.00Z,40.718941,-114.035065,1292.7,0.0,0.0,89.79,73.94,4241.1,1.54,-2.19
4012,2024-11-06T23:46:10.00Z,40.718942,-114.034203,1292.6,0.0,0.0,89.85,67.88,4240.78,0.24,-2.24
4013,2024-11-06T23:46:12.01Z,40.718943,-114.033424,1292.4,0.0,0.0,89.76,61.0,4240.3,-0.9,-2.17
4014,2024-11-06T23:46:13.40Z,40.718945,-114.03286,1292.3,0.0,0.0,89.74,55.52,4239.87,-0.48,-1.7
4015,2024-11-06T23:46:15.00Z,40.718947,-114.032409,1292.2,0.0,0.0,89.72,51.03,4239.63,-1.83,-0.77
4016,2024-11-06T23:46:17.02Z,40.718949,-114.031776,1292.1,0.0,0.0,89.47,44.15,4239.23,-1.09,-1.0
4017,2024-11-06T23:46:18.01Z,40.71895,-114.031619,1292.1,0.0,0.0,89.4,42.61,4239.26,-1.18,-0.2
4018,2024-11-06T23:46:20.00Z,40.718952,-114.031085,1292.1,0.0,0.0,89.79,36.97,4239.07,-3.24,-1.02
4019,2024-11-06T23:46:22.40Z,40.718951,-114.030577,1292.0,0.0,0.0,90.16,27.91,4238.96,-1.97,-1.12
4020,2024-11-06T23:46:23.02Z,40.718951,-114.03048,1292.0,0.0,0.0,89.91,25.87,4238.88,-3.19,-0.98
4021,2024-11-06T23:46:24.01Z,40.718951,-114.030362,1292.0,0.0,0.0,90.24,23.21,4238.81,-3.77,-0.64
4022,2024-11-06T23:46:26.00Z,40.718951,-114.030122,1291.9,0.0,0.0,90.0,17.05,4238.65,-1.08,-0.93
4023,2024-11-06T23:46:27.00Z,40.718951,-114.030029,1291.9,0.0,0.0,90.24,13.8,4238.54,-4.47,-0.63
4024,2024-11-06T23:46:28.40Z,40.718951,-114.029924,1291.8,0.0,0.0,89.87,8.55,4238.31,-2.69,-0.98
4025,2024-11-06T23:46:29.20Z,40.718951,-114.02989,1291.8,0.0,0.0,89.81,5.97,4238.15,-2.96,-0.94
4026,2024-11-06T23:46:30.60Z,40.718951,-114.029856,1291.7,0.0,0.0,89.15,2.62,4237.94,-1.71,-0.82
4027,2024-11-06T23:46:31.40Z,40.718951,-114.029848,1291.7,0.0,0.0,-1.0,0.89,4237.91,-2.26,-0.7
4028,2024-11-06T23:46:32.02Z,40.718951,-114.029847,1291.7,0.0,0.0,-1.0,0.0,4237.89,-2.15,-0.42
4029,2024-11-06T23:46:33.60Z,40.718951,-114.029847,1291.7,0.0,0.0,-1.0,0.0,4237.79,-1.95,-0.01
4030,2024-11-06T23:46:34.39Z,40.718951,-114.029847,1291.7,0.0,0.0,-1.0,0.0,4237.77,-1.89,-0.04
4031,2024-11-06T23:46:35.60Z,40.718951,-114.029847,1291.7,0.0,0.0,-1.0,0.0,4237.73,-1.75,0.04
4032,2024-11-06T23:46:36.20Z,40.718951,-114.029848,1291.7,0.0,0.0,-1.0,0.0,4237.77,-1.61,-0.06
4033,2024-11-06T23:46:37.60Z,40.718952,-114.029848,1291.7,0.0,0.0,-1.0,0.0,4237.79,-1.34,-0.15
